tag,count
宁都三杯鸡,1
脆皮麻香鸡,1
蒜蓉小龙虾,1
三味蒸大白条,1
带鱼,1
甜豆,1
桂花糖年糕,1
冬笋肉丝,1
千岛湖酱鱼头,1
青豆,1
叫花鸡,1
猪肚烧金花菜,1
花胶,1
馋嘴牛蛙,1
脆皮大肠头,1
鲍鱼烧猪脚,1
招牌干炸臭豆腐,1
富贵连连桂鱼捞粉,1
熟醉沼虾,1
酒酿馒头配红烧肉,1
四灶儿小炒王,1
云雾鸳鸯龙井虾仁,1
杭式葱包烩只,1
姜汁小龙虾,1
西湖牛肉鱼米羹,1
李白招牌烤鸭,1
沙蒜烧豆面,1
妙龄乳鸽,1
椒香鸡汁大白条,1
杨梅球,1
冰草,1
金汤翡翠虾滑,1
倒笃菜炒目鱼丝,1
亲嘴蛙,1
欢迎新老顾客进店体验,1
榴莲披萨,1
土耳其烤羊排配红酒汁佐时蔬,1
澳洲肉眼佐时蔬配红酒汁,1
流连忘返咖啡,1
古法扣澳洲大鲜鲍,1
私房菜,1
熟醉湖蟹（一只）,1
酒酿馒头红烧肉,1
石锅虾仁豆腐,1
生炒鸡,1
野生菌炖本鸡,1
梭子蟹,1
实心海参拌老虎菜,1
椒盐猪手,1
松子桂鱼,1
八宝鱼头,1
小管鲜鱿,1
臭豆腐煎毛豆,1
八宝酱丁,1
蜜汁小金瓜,1
蒜蓉开背虾,1
梅菜肉松扣花胶,1
大白条,1
油醋汁蒸松叶蟹,1
蛋黄翠叶,1
玻璃脆皮乳鸽,1
香煎牛舌,1
手切鲜羊肉,1
LA牛排,1
面汤,1
猪脚,1
野生菌,1
豆沙,1
三道菜,1
猪手鲍鱼,1
干菜蒸鳗鱼,1
海皇豆腐,1
水煮牛杂碎,1
霸王别姬,1
白切献鸡,1
海鲜捞豆面,1
捞汁花螺,1
肉末虾皮水蒸蛋,1
农家炒本鸡,1
土猪酱肉茭白蒸香干,1
波士顿龙虾（蒜蓉粉丝蒸）,1
农家小炒肉,1
凉拌牛腱,1
鱼子酱鲍鱼炖蛋,1
烤韭菜,1
蒜蓉烤生蚝,1
雪花牛肉粒,1
奥尔良烤翅,1
烤鸡珍,1
烤猪五花,1
秘制大片牛排,1
烤鳕鱼,1
烤豆角,1
葱油蛏子,1
沙田乳鸽,1
太湖蟹,1
尖椒毛豆笋干倒笃菜,1
碎蒸东星斑,1
口蘑菜心,1
温蟹,1
咸枪蟹,1
红烧杂鱼,1
雪菜蒸小黄鱼,1
本鸡煲,1
尖椒鲍鱼炒肉片,1
剁椒鸦片鱼头,1
凉拌东北木耳,1
五香牛腱（内蒙空运）,1
干炸带鱼,1
鲍鱼焖猪爪,1
清蒸青龙仔,1
干锅八爪鱼,1
加州象拔蚌,1
抱腌清蒸大白条（半条）,1
梭子蟹倒立蒸,1
酱香鸭舌,1
白切鸡,1
秘制河虾,1
红烧土猪肉夹饼,1
避风塘长脚蟹,1
葱油沙蛤,1
醉雪蛤,1
青龙仔麻辣豆腐,1
干煸鸭舌,1
黑松露鲍鱼牛筋,1
醉虾,1
牛杂毛血旺,1
干菜蒸江鳗,1
尖椒倒笃菜炒目鱼丝,1
鲍鱼扣饭,1
自制酱鸭（老鸭）,1
椒麻黄瓜,1
牡蛎煎蛋,1
蛋黄南瓜,1
鲍鱼佛跳墙（位上）,1
香辣牛蛙,1
清蒸野鸭,1
极品鲍鱼汤,1
海鲜炒米粉,1
椒盐海龙鱼,1
生炒甲鱼,1
高山竹林鸡,1
紫苏河杂鱼,1
鸿运当头,1
肉末龙须,1
蒜香烤虾,1
土烧鱼头,1
酒酿馒头,1
石磨豆腐,1
甲鱼脚圈,1
海花烧羮,1
鸡腰爆鳝段,1
沙蛤冬瓜汤,1
蒜蓉粉丝大扇贝,1
三文鱼刺身,1
基围虾,1
家烧田鸡（口感略硬）,1
炭烤鳗鱼,1
牛肋条,1
鲜切猪五花,1
东北锅包肉,1
炒粉干,1
常山将军鱼浓汤,1
田鸡爆炒,1
鸭头鸭掌拼盘,1
特色牛排骨,1
先进醉河虾,1
卤鸭翅,1
富春江老鸭煲,1
农家扣肉,1
紫苏螺丝,1
山椒牛蛙,1
富春老鸭煲,1
椒香口水鸡,1
爆炒辣子鸡,1
西湖醋鱼块,1
外婆大鱼头,1
蒜蓉蒸扇贝,1
珊瑚虾,1
外婆小牛肉,1
奶香青豆泥,1
龙井绿茶饼,1
外婆家红烧肉,1
外婆茶香鸡,1
撸串,1
老式锅包肉,1
葱花牛肉,1
