name,adname,type,rating,cost
孔岳冒菜(临平店),临平区,餐饮服务;中餐厅;中餐厅,4.7,50
小湘村湘菜(滨兴小区东区店),滨江区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,50
大嘴巴湘菜馆·干煸小龙虾(奥体店),萧山区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,50
面屋目一,滨江区,餐饮服务;中餐厅;中餐厅,4.7,50
DaP,上城区,餐饮服务;咖啡厅;咖啡厅,4.7,51
蓝瓶咖啡(杭州万象城店),上城区,餐饮服务;咖啡厅;咖啡厅,4.7,52
荆九爷爆炒桥头三嫩(滨江滨悦城店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,55
荆九爷爆炒桥头三嫩(新天地店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,55
小菜园新徽菜(杭州东站万象汇店),上城区,餐饮服务;中餐厅;中餐厅,4.7,55
一席地·本地鸡窝(金田店),西湖区,餐饮服务;中餐厅;火锅店,4.7,55
東家猪杂粥覓味馆·干蒸菜(杭州萧杭人家店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,56
马丫东北饭儿(未来科技城店),余杭区,餐饮服务;中餐厅;中餐厅,4.7,56
西湖D11,拱墅区,餐饮服务;中餐厅;综合酒楼,4.7,56
荆九爷爆炒桥头三嫩(下沙店),钱塘区,餐饮服务;中餐厅;中餐厅,4.7,57
湘约屋坎上·土家民族菜·不改湘西味(三花国际总店),上城区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,57
大俺徽地锅鸡(御金台),萧山区,餐饮服务;中餐厅;中餐厅,4.7,57
幸福年铁锅炖熏酱小酒馆(高沙店),钱塘区,餐饮服务;餐饮相关场所;餐饮相关,4.7,57
23号墙门菜,拱墅区,餐饮服务;中餐厅;中餐厅,4.7,58
孔岳冒菜(无忧店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,58
龍歌自助小火锅(银隆百货A座店),萧山区,餐饮服务;中餐厅;火锅店,4.7,58
孔岳冒菜(彭埠店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,59
山重浪重庆耙火锅(杭州萧山店),萧山区,餐饮服务;中餐厅;火锅店,4.7,59
迎春·东北老菜儿(西湖店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,59
屠夫汉堡(中山北路店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,59
签约·肆酒撸串·海鲜烧烤季·团建精酿酒馆(滨江店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,60
137烧烤龙虾烤鱼.新疆羊肉串(南大街店),临平区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,60
老嘎达东北菜(原东北菜馆高沙店),钱塘区,餐饮服务;中餐厅;东北菜,4.7,61
大俺徽地锅鸡(太平门直街),上城区,餐饮服务;中餐厅;中餐厅,4.7,62
杨光姐?东北老家(西湖文化广场店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,62
荆九爷爆炒桥头三嫩(西溪留下店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,63
大俺徽柴火鸡·地锅鸡(皓月路店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,63
夏大厨铁锅炖·东北菜·烧烤(钱江世纪城店),萧山区,餐饮服务;中餐厅;东北菜,4.7,63
马丫东北饭儿(金昌路店),余杭区,餐饮服务;中餐厅;东北菜,4.7,64
哈尔滨东北家常菜美玲家,钱塘区,餐饮服务;中餐厅;中餐厅,4.7,64
禧满牛贵州黄牛肉馆.干锅火锅(金田店),西湖区,餐饮服务;中餐厅;火锅店,4.7,64
Shake Shack(杭州万象城店),上城区,餐饮服务;快餐厅;快餐厅,4.7,65
烤匠麻辣烤鱼(星光大道店),滨江区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,65
烤匠麻辣烤鱼(杭州远洋乐堤港店),拱墅区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,65
老六小炒肉(滨江银泰店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,65
赵府私厨·老杭帮菜(河坊街店),上城区,餐饮服务;中餐厅;中餐厅,4.7,66
广源东北菜(文创大厦店),钱塘区,餐饮服务;中餐厅;东北菜,4.7,66
老地方川菜(元成东盛家园店),钱塘区,餐饮服务;中餐厅;四川菜(川菜),4.7,67
幺妹鱼庄(明星路店),萧山区,餐饮服务;中餐厅;海鲜酒楼,4.7,67
何小姐鲜牛肉火锅(通惠中路店),萧山区,购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,4.7,67
