name,adname,type,rating,cost,性价比,cluster,餐厅类型
泉市鲜活牛肉店(中南乐游城店),滨江区,餐饮服务;中餐厅;火锅店,4.7,103,1.0119733894209697,1,大众品质型
海底捞火锅(杭州未来科技城万达店),余杭区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
故里百味药膳鸡(杭州总店),上城区,餐饮服务;中餐厅;中餐厅,4.5,39,1.2198826380681755,1,大众品质型
海底捞火锅(绍兴路店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
七欣天(杭州庆春路越都荟店),上城区,餐饮服务;中餐厅;火锅店,4.5,129,0.9244926863494141,1,大众品质型
蛮涮自助小火锅·糖水铺子集合店(七堡花园城店),上城区,餐饮服务;中餐厅;火锅店,4.5,57,1.108253456165225,1,大众品质型
海底捞火锅(杭州工联cc店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州中大银泰城店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅之江里店,西湖区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州金沙印象城店),钱塘区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州西田城店),余杭区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州西溪印象城店),余杭区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州城西银泰城店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州萧山众安广场店),萧山区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州大悦城店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(大江东宝龙广场夜宵主题店),钱塘区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州临平银泰城店),临平区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州东城购物中心店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州西子丁兰广场店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州临平欢乐城店),临平区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(桐庐书香同城店),桐庐县,餐饮服务;中餐厅;火锅店,4.8,120,1.0008777394181911,1,大众品质型
海底捞火锅(下沙银泰百货店),钱塘区,餐饮服务;中餐厅;火锅店,4.8,120,1.0008777394181911,1,大众品质型
海底捞大排档火锅(杭州吾角天街店),钱塘区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(铂澜大象城店),西湖区,餐饮服务;中餐厅;火锅店|体育休闲服务;体育休闲服务场所;体育休闲服务场所,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州之江银泰百货店),西湖区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州古墩路印象城店),西湖区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
