排名,name,adname,type,rating,cost,性价比
927,虾儿清清小龙虾烧烤(星澜里店),滨江区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,87,1.0497
928,赵姑娘海鲜大排档·梭子蟹·烧烤(杭州总店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,87,1.0497
929,张大厨老坛柠檬鱼,上城区,餐饮服务;中餐厅;中餐厅,4.6,79,1.0497
930,忆浙西·浙西农家菜(龙岗店),临安区,餐饮服务;中餐厅;安徽菜(徽菜),4.6,79,1.0497
931,照云川菜(萧山店),萧山区,餐饮服务;中餐厅;四川菜(川菜),4.8,96,1.0492
932,望湖小馆,上城区,餐饮服务;中餐厅;中餐厅,4.5,72,1.0488
933,天竺人家·杭州土菜(西湖灵隐寺13年老店),西湖区,餐饮服务;中餐厅;浙江菜,4.5,72,1.0488
934,蛙来哒(萧山银泰店),萧山区,餐饮服务;中餐厅;中餐厅,4.5,72,1.0488
935,东厢记乌猪小炒肉,上城区,餐饮服务;中餐厅;湖南菜(湘菜),4.5,72,1.0488
936,皖碗地锅鸡(万美商务中心店),西湖区,餐饮服务;中餐厅;中餐厅,4.5,72,1.0488
937,阿勇烧烤(凯旋路店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.5,72,1.0488
938,串王阿三烧烤·酒场·烤鱼(吴山广场江城路店),上城区,餐饮服务;中餐厅;中餐厅,4.5,72,1.0488
939,肉本家·炭烤肉(滨江东和时代店),滨江区,餐饮服务;中餐厅;中餐厅,4.9,106,1.0486
940,长风源·寻衢味(20年老店),上城区,餐饮服务;中餐厅;海鲜酒楼,4.7,88,1.0471
941,新周记·巷子里的江南味(金龙财富店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,88,1.0471
942,自贡盐帮菜,拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,88,1.0471
943,点都德(杭州湖滨in77店),上城区,餐饮服务;中餐厅;广东菜(粤菜),4.7,88,1.0471
944,大鱼徽州·皖南家宴(东站德信店),上城区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,88,1.0471
945,卢家·皖掌柜(杭州首店),拱墅区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,88,1.0471
946,大鱼徽州·皖南家宴(星光总店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,88,1.0471
947,庆春食堂(国有资本投资大厦店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.8,97,1.0469
948,红星路·成都烤鱼(万达步行街店),拱墅区,餐饮服务;中餐厅;特色/地方风味餐厅,4.6,80,1.0468
949,新太二·鲜料川菜(杭州大悦城分店),拱墅区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
950,壹只鸡煲馆(杭州首店),西湖区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
951,侯师傅热炒店(杭州湖滨in77店),上城区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
952,碧湖小馆(象山国际店),西湖区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
953,马丫东北饭儿(浙商财富中心店),西湖区,餐饮服务;中餐厅;东北菜,4.6,80,1.0468
954,马丫东北饭儿(临平店),临平区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
955,蘭记牛府贵州黄牛肉火锅(中山中路店),上城区,餐饮服务;中餐厅;火锅店,4.6,80,1.0468
956,一个串说(万泰城店),上城区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
957,赶海去·海鲜烧烤小酒馆·团建·露营(萧山店),萧山区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
958,戒指龙虾.小龙虾.烧烤(下沙一店),钱塘区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
959,戒指龙虾·小龙虾·烧烤(九堡格畈店),上城区,餐饮服务;中餐厅;中餐厅,4.6,80,1.0468
960,朱小喜龙虾馆(金莱店),萧山区,餐饮服务;中餐厅;海鲜酒楼,4.6,80,1.0468
961,炉鱼(杭州天虹购物中心店),上城区,餐饮服务;中餐厅;中餐厅,4.5,73,1.0455
962,东北特色铁锅炖(青云桥店),富阳区,餐饮服务;中餐厅;中餐厅,4.5,73,1.0455
963,厨创东北大厨(亲橙里店),余杭区,餐饮服务;中餐厅;中餐厅,4.5,73,1.0455
964,串意十足烧烤店(解放路店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.0,45,1.0448
965,大塘集美蛙鱼头·冷锅鱼(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,89,1.0445
966,刘老根·东北烧烤酒场(子夜广场店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,89,1.0445
967,戒指龙虾(余杭店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,89,1.0445
968,堂前屋后·开化山里菜(凯旋店),上城区,餐饮服务;中餐厅;中餐厅,4.6,81,1.0439
969,吴记·寻味江南,上城区,餐饮服务;中餐厅;中餐厅,4.6,81,1.0439
970,小红砂锅(三根桥店),富阳区,餐饮服务;中餐厅;中餐厅,4.6,81,1.0439
971,蚂蚁洞烤肉料理(杭州亚奥万象天地店),萧山区,餐饮服务;中餐厅;中餐厅,4.6,81,1.0439
972,何记皖北地锅鸡(乔司店),临平区,餐饮服务;中餐厅;中餐厅,4.2,55,1.0434
973,安徽饭店(坎红路),萧山区,餐饮服务;中餐厅;安徽菜(徽菜),3.9,41,1.0434
974,邦小宝潮汕美食馆,余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.4,67,1.0428
975,必胜客(杭州滨江宝龙店),滨江区,餐饮服务;快餐厅;必胜客,4.4,67,1.0428
976,伍味徽菜馆,余杭区,餐饮服务;中餐厅;安徽菜(徽菜),4.1,50,1.0428
977,洪泽湖龙虾馆,富阳区,餐饮服务;中餐厅;海鲜酒楼,4.1,50,1.0428
978,胖子食府·衢州菜小龙虾烧烤(西湖店),拱墅区,餐饮服务;中餐厅;中餐厅,4.5,74,1.0423
979,正宗万州烤魚烧烤小龙虾,滨江区,餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;四川菜(川菜),4.5,74,1.0423
980,潮来福潮汕牛肉店(元华旺座中心店),上城区,餐饮服务;中餐厅;潮州菜,4.7,90,1.0419
981,张功馆·地道桐庐菜(景芳店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,90,1.0419
982,风炉故事·遂昌山野土菜(凯旋路店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90,1.0419
983,风炉故事·遂昌山野土菜(杭州首店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90,1.0419
984,杭州酒家(庆春路店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90,1.0419
985,晚酒·阿英川菜馆(解百店),上城区,餐饮服务;中餐厅;四川菜(川菜),4.7,90,1.0419
986,齐庆·美蛙鱼头(EFC欧美广场店),余杭区,餐饮服务;中餐厅;火锅店,4.7,90,1.0419
987,赵美丽.重庆社区火锅(EFC欧美广场店),余杭区,餐饮服务;中餐厅;火锅店,4.7,90,1.0419
988,大川先生·龙虾·川菜(石灰坝店),拱墅区,餐饮服务;中餐厅;四川菜(川菜),4.7,90,1.0419
989,岳无鸡·鲜切广东脆皮鸡煲(中南未来里店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,90,1.0419
990,十八道东北菜?芳达烧烤东北菜 (中赢康康谷店),滨江区,餐饮服务;中餐厅;东北菜,4.7,90,1.0419
991,叶老头碳炉草本鸡煲(杭州萧山店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,90,1.0419
992,宽马记大排档·热鲜牛肉海鲜火锅(临安店),临安区,餐饮服务;中餐厅;火锅店,4.7,90,1.0419
993,RayPub暗光(中河店),上城区,体育休闲服务;娱乐场所;酒吧|餐饮服务;咖啡厅;咖啡厅,4.7,90,1.0419
994,木屋烧烤(江干天虹店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.6,82,1.041
995,蚝当家·海鲜龙虾烧烤(文二路店),西湖区,餐饮服务;中餐厅;中餐厅,4.6,82,1.041
996,瑔记·台州小馆·小龙虾(杭州首店),余杭区,餐饮服务;中餐厅;中餐厅,4.6,82,1.041
997,三两好友深夜食堂钱江世纪城店(焗海鲜·烤乳猪·罗氏虾),萧山区,餐饮服务;中餐厅;中餐厅,4.8,100,1.0401
998,滋味渊·匠心桐庐菜(景芳店),上城区,餐饮服务;中餐厅;浙江菜,4.7,91,1.0394
999,杭州宴·杭州菜(火车东站店),上城区,餐饮服务;中餐厅;中餐厅,4.7,91,1.0394
1000,伊家鲜?宴请?小宴席(湖州街总店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,91,1.0394
