name,rating,cost,性价比,评分标准化,消费友好度,性价比标准化,综合得分
蓝瓶咖啡(杭州万象城店),4.7,52,1.1837920491329885,0.909090909090909,0.9693460490463215,0.3608400097762839,75.97
1点点(太平门直街店),4.4,19,1.46875608305947,0.7727272727272727,0.9918256130790191,0.5466472160685814,75.97
OONECCUP(庆春银泰店),4.4,19,1.46875608305947,0.7727272727272727,0.9918256130790191,0.5466472160685814,75.97
1点点(建国中路店),4.4,19,1.46875608305947,0.7727272727272727,0.9918256130790191,0.5466472160685814,75.97
朱富贵火锅(杭州中大银泰店),4.9,116,1.028941837717252,1.0000000000000002,0.9257493188010899,0.25987188134098566,75.94
麦当劳(保利中心店),4.5,26,1.365358839940256,0.8181818181818181,0.9870572207084469,0.47922834703592604,75.87
麦当劳(杭州西湖东坡酒店店),4.5,26,1.365358839940256,0.8181818181818181,0.9870572207084469,0.47922834703592604,75.87
肯德基(杭州之翼店),4.5,26,1.365358839940256,0.8181818181818181,0.9870572207084469,0.47922834703592604,75.87
后生仔·潮汕小馆(西湖店),4.6,37,1.2645748576154703,0.8636363636363635,0.9795640326975477,0.4135134217635949,75.76
阿英川菜馆(丰潭路店),4.8,80,1.0922870719522046,0.9545454545454544,0.9502724795640327,0.3011753428443568,75.75
刘老根·东北烧烤酒场(闻涛观潮店),4.8,80,1.0922870719522046,0.9545454545454544,0.9502724795640327,0.3011753428443568,75.75
老秦凉都黄牛肉馆(星耀城店),4.8,80,1.0922870719522046,0.9545454545454544,0.9502724795640327,0.3011753428443568,75.75
朱富贵火锅(杭州拱墅万达店),4.9,120,1.0217293589894034,1.0000000000000002,0.923024523160763,0.25516907550124973,75.73
周姐焦烤鸡架·东北烧烤夜宵(隆和国际店),4.8,81,1.0892457019992594,0.9545454545454544,0.9495912806539509,0.29919225590362414,75.67
荆九爷爆炒桥头三嫩(滨江滨悦城店),4.7,55,1.1675998424728051,0.909090909090909,0.9673024523160763,0.35028208552956147,75.6
荆九爷爆炒桥头三嫩(新天地店),4.7,55,1.1675998424728051,0.909090909090909,0.9673024523160763,0.35028208552956147,75.6
小菜园新徽菜(杭州东站万象汇店),4.7,55,1.1675998424728051,0.909090909090909,0.9673024523160763,0.35028208552956147,75.6
一席地·本地鸡窝(金田店),4.7,55,1.1675998424728051,0.909090909090909,0.9673024523160763,0.35028208552956147,75.6
古茗(江干四季青店),4.3,15,1.5508971689556357,0.7272727272727271,0.9945504087193461,0.6002062757221227,75.6
古茗(上城天阳亲子店),4.3,15,1.5508971689556357,0.7272727272727271,0.9945504087193461,0.6002062757221227,75.6
古茗(奥体银泰店),4.3,15,1.5508971689556357,0.7272727272727271,0.9945504087193461,0.6002062757221227,75.6
麦当劳(杭州高德置地广场餐厅),4.5,27,1.3504573282518588,0.8181818181818181,0.9863760217983651,0.4695120041760848,75.56
汉堡王(杭州宁城大厦),4.5,27,1.3504573282518588,0.8181818181818181,0.9863760217983651,0.4695120041760848,75.56
小禾山·大碗饭(科技园店),4.4,20,1.445218450513425,0.7727272727272727,0.9911444141689373,0.5312997994635666,75.49
肯德基(天城国际店),4.4,20,1.445218450513425,0.7727272727272727,0.9911444141689373,0.5312997994635666,75.49
東家猪杂粥覓味馆·干蒸菜(杭州萧杭人家店),4.7,56,1.1624883506652415,0.909090909090909,0.9666212534059946,0.3469492017278309,75.48
马丫东北饭儿(未来科技城店),4.7,56,1.1624883506652415,0.909090909090909,0.9666212534059946,0.3469492017278309,75.48
西湖D11,4.7,56,1.1624883506652415,0.909090909090909,0.9666212534059946,0.3469492017278309,75.48
小饮与食·盖饭小吃·中华料理(杭州景芳店),4.6,39,1.2469911411363572,0.8636363636363635,0.9782016348773842,0.40204818107970314,75.38
肯德基(杭州庆丰店),4.6,39,1.2469911411363572,0.8636363636363635,0.9782016348773842,0.40204818107970314,75.38
荆九爷爆炒桥头三嫩(下沙店),4.7,57,1.157509165328124,0.909090909090909,0.9659400544959128,0.3437025866924049,75.37
湘约屋坎上·土家民族菜·不改湘西味(三花国际总店),4.7,57,1.157509165328124,0.909090909090909,0.9659400544959128,0.3437025866924049,75.37
大俺徽地锅鸡(御金台),4.7,57,1.157509165328124,0.909090909090909,0.9659400544959128,0.3437025866924049,75.37
