排名,name,adname,type,rating,cost,性价比
285,风炉故事·遂昌山野土菜(杭州首店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90,1.0419
286,杭州酒家(庆春路店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90,1.0419
287,晚酒·阿英川菜馆(解百店),上城区,餐饮服务;中餐厅;四川菜(川菜),4.7,90,1.0419
288,齐庆·美蛙鱼头(EFC欧美广场店),余杭区,餐饮服务;中餐厅;火锅店,4.7,90,1.0419
289,赵美丽.重庆社区火锅(EFC欧美广场店),余杭区,餐饮服务;中餐厅;火锅店,4.7,90,1.0419
290,大川先生·龙虾·川菜(石灰坝店),拱墅区,餐饮服务;中餐厅;四川菜(川菜),4.7,90,1.0419
291,岳无鸡·鲜切广东脆皮鸡煲(中南未来里店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,90,1.0419
292,十八道东北菜?芳达烧烤东北菜 (中赢康康谷店),滨江区,餐饮服务;中餐厅;东北菜,4.7,90,1.0419
293,叶老头碳炉草本鸡煲(杭州萧山店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,90,1.0419
294,宽马记大排档·热鲜牛肉海鲜火锅(临安店),临安区,餐饮服务;中餐厅;火锅店,4.7,90,1.0419
295,RayPub暗光(中河店),上城区,体育休闲服务;娱乐场所;酒吧|餐饮服务;咖啡厅;咖啡厅,4.7,90,1.0419
296,滋味渊·匠心桐庐菜(景芳店),上城区,餐饮服务;中餐厅;浙江菜,4.7,91,1.0394
297,杭州宴·杭州菜(火车东站店),上城区,餐饮服务;中餐厅;中餐厅,4.7,91,1.0394
298,伊家鲜?宴请?小宴席(湖州街总店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,91,1.0394
299,李白图书馆餐厅?杭帮菜名店(九堡店),上城区,餐饮服务;中餐厅;中餐厅,4.7,91,1.0394
300,三登客江鲜(永福店),余杭区,餐饮服务;中餐厅;海鲜酒楼,4.7,91,1.0394
301,六丁火烤肉(杭州首店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,92,1.0369
