综合排名,name,adname,type,rating,cost,性价比,评分标准化,消费友好度,性价比标准化,综合得分
268,忆味东北美食体验基地,临平区,餐饮服务;中餐厅;中餐厅,4.7,68,1.1100334851985627,0.909090909090909,0.9584468664850136,0.31274666790450495,74.25
269,小牛滚滚贵州黄牛肉火锅(萧山博地中心店),萧山区,餐饮服务;中餐厅;火锅店,4.7,68,1.1100334851985627,0.909090909090909,0.9584468664850136,0.31274666790450495,74.25
270,星期八咖啡馆·日咖夜酒(之江店),上城区,餐饮服务;咖啡厅;咖啡厅|生活服务;生活服务场所;生活服务场所,4.7,68,1.1100334851985627,0.909090909090909,0.9584468664850136,0.31274666790450495,74.25
271,麦当劳(庆春路餐厅),上城区,餐饮服务;快餐厅;麦当劳,4.4,23,1.3844951139541495,0.7727272727272727,0.989100817438692,0.4917059132900687,74.25
272,椿芽·鲜牛肉杭州拌川(杭州万象城店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.6,46,1.194759389992449,0.8636363636363635,0.973433242506812,0.3679911261381383,74.24
273,食局东北菜,西湖区,餐饮服务;中餐厅;东北菜,4.6,46,1.194759389992449,0.8636363636363635,0.973433242506812,0.3679911261381383,74.24
274,麦当劳(悦坊商场店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.5,32,1.2869985037620346,0.8181818181818181,0.9829700272479565,0.428134477578853,74.24
275,麦当劳(杭州城投大厦店),上城区,餐饮服务;快餐厅;麦当劳,4.5,32,1.2869985037620346,0.8181818181818181,0.9829700272479565,0.428134477578853,74.24
276,麦当劳(西湖文化广场店),拱墅区,餐饮服务;快餐厅;麦当劳,4.5,32,1.2869985037620346,0.8181818181818181,0.9829700272479565,0.428134477578853,74.24
277,肯德基(中赢国际店),滨江区,餐饮服务;快餐厅;肯德基,4.5,32,1.2869985037620346,0.8181818181818181,0.9829700272479565,0.428134477578853,74.24
278,肯德基(杭州复兴店),上城区,餐饮服务;快餐厅;肯德基,4.5,32,1.2869985037620346,0.8181818181818181,0.9829700272479565,0.428134477578853,74.24
279,麦当劳(杭州拱墅区和平大厦),拱墅区,餐饮服务;快餐厅;麦当劳,4.5,32,1.2869985037620346,0.8181818181818181,0.9829700272479565,0.428134477578853,74.24
280,东北杨光?碳烤鲜牛肉(天虹店),上城区,餐饮服务;中餐厅;中餐厅,4.7,69,1.1062740410962182,0.909090909090909,0.9577656675749319,0.31029536976612687,74.16
